Date_Time_UTC,0.00001,0.0001,0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000,0.00001_BTC_total,0.0001_BTC_total,0.001_BTC_total,0.01_BTC_total,0.1_BTC_total,1_BTC_total,10_BTC_total,100_BTC_total,1000_BTC_total,10000_BTC_total,100000_BTC_total,1000000_BTC_total,USD_0.00001_BTC,USD_0.0001_BTC,USD_0.001_BTC,USD_0.01_BTC,USD_0.1_BTC,USD_1_BTC,USD_10_BTC,USD_100_BTC,USD_1000_BTC,USD_10000_BTC,USD_100000_BTC,USD_1000000_BTC
2025-09-12 12:01:02 UTC+0000,6967250,12094087,13555178,11587738,7968030,3469612,830517,133002,17203,1982,82,4,40.75,511.06,5085,42872,269054,1068874,2060528,4303416,4971951,4352334,2182877,659581,4688792,58797088,585059004,4932382209,30954213363,122972162480,237060272683,495100707447,572014467942,500728583691,251136314324,75883662811
2025-09-13 00:01:03 UTC+0000,6967506,12094499,13567219,11592225,7967924,3469723,830529,133051,17230,1978,82,4,40.76,511.08,5091,42885,269063,1068870,2060683,4306972,4973083,4347466,2183101,659581,4733244,59351221,591208470,4980138130,31245867411,124126308889,239304186745,500162588285,577517091023,504865120563,253520475296,76596198832
2025-09-13 12:01:02 UTC+0000,6968939,12094290,13565187,11596179,7969327,3469932,830493,133075,17235,1981,81,4,40.77,511.11,5090,42889,269088,1068932,2060307,4307994,4976211,4357207,2169658,659581,4727895,59274312,590274932,4973910981,31206673190,123966069482,238937710144,499606332337,577100746723,505313615318,251619385687,76492859568
2025-09-14 00:01:03 UTC+0000,6971022,12095236,13578012,11598063,7969971,3469689,830486,133058,17229,1982,81,4,40.78,511.17,5096,42885,269105,1068785,2060435,4307838,4974244,4359552,2169673,659581,4726832,59247497,590654255,4970603283,31190902716,123878875026,238817289808,499305373463,576546002042,505299253759,251478691281,76449546242
2025-09-14 12:01:03 UTC+0000,6972460,12097360,13585252,11599289,7971085,3470048,830569,133044,17217,1983,81,4,40.79,511.25,5099,42872,269139,1068872,2060621,4306731,4970210,4365220,2169080,659581,4724366,59211067,590565814,4965225312,31170445849,123792085545,238652065863,498786559229,575627710003,505560521775,251213207196,76389744017
2025-09-15 00:01:03 UTC+0000,6978458,12098128,13596055,11604998,7970761,3470377,830433,133012,17223,1982,81,4,40.82,511.32,5104,42877,269140,1068992,2060137,4305149,4971021,4366012,2169687,659581,4709583,58985999,588852855,4946313664,31048140971,123319485903,237658616063,496644442559,573459887162,503665655556,250296285276,76089631279
2025-09-15 12:01:03 UTC+0000,6985384,12098049,13594367,11602855,7969197,3470267,830558,133059,17219,1982,81,4,40.87,511.31,5104,42875,269144,1068950,2060343,4305804,4969795,4366040,2170321,659581,4704086,58857847,587542335,4935345311,30981410463,123048035642,237168294950,495645732822,572078406698,502579498123,249828020426,75925066340
2025-09-16 00:01:02 UTC+0000,6986423,12100159,13573426,11596632,7969878,3470378,830507,133040,17241,1987,82,4,40.87,511.36,5094,42876,269199,1068941,2060239,4304476,4973818,4354180,2179766,659581,4718139,59030416,588016432,4949590811,31075980838,123397004666,237830943610,496902289155,574170147164,502640011808,251628933243,76141032084
2025-09-16 12:01:03 UTC+0000,6988068,12097868,13566840,11601297,7969193,3470382,830447,132992,17247,1987,81,4,40.88,511.08,5092,42896,269215,1068943,2060234,4303412,4981042,4356944,2171044,659581,4716508,58962116,587492252,4948821847,31058782668,123321657570,237684772218,496475268987,574651923993,502651113680,250468632610,76094414134
2025-09-17 00:01:02 UTC+0000,6989297,12100026,13562677,11601531,7966931,3470069,830079,132977,17270,1983,82,4,40.89,511.15,5088,42900,269179,1068894,2059021,4301237,4989466,4345856,2177453,659581,4776965,59714490,594398169,5011763121,31446340715,124871636508,240541543021,502484407214,582885526858,507696949759,254377096175,77054373444
2025-09-17 12:01:03 UTC+0000,6990320,12101960,13564299,11602602,7965394,3470308,830073,133011,17266,1984,82,4,40.90,511.22,5088,42906,269148,1069016,2059153,4302828,4988460,4346264,2176435,659581,4758544,59481550,591961318,4992191539,31315830328,124382022363,239586195928,500641903829,580416432580,505695796234,253232146276,76743444640
